stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
21246,1-A-49,Anse Collat,,14.619287,-61.103836,0,10594,0
10068,ANMA,Stade,,14.618811,-61.101972,1,,0
21247,2452,Stade,,14.617790,-61.102008,0,10068,0
10070,VISCHOE,Victor Schoelcher,,14.616480,-61.101022,1,,0
20111,2453,Victor Schoelcher,,14.616591,-61.101035,0,10070,0
10033,CGVPLAC,College Vincent Placoly,,14.616461,-61.099925,1,,0
20051,2454,College Vincent Placoly,,14.616462,-61.099922,0,10033,0
10039,FLAMBO,Flamboyants,,14.616661,-61.098726,1,,0
20061,2456,Flamboyants,,14.616673,-61.098836,0,10039,0
10053,HTMADIA,Les Hauts De Madiana,,14.617400,-61.097208,1,,0
20083,2457,Les Hauts De Madiana,,14.617400,-61.097208,0,10053,0
10028,UNIV,Campus,,14.618513,-61.095688,1,,0
20042,2435,Campus,,14.618513,-61.095688,0,10028,0
10029,CANAVI,Case Navire,,14.617646,-61.096918,1,,0
20044,2436,Case Navire,,14.617646,-61.096918,0,10029,0
20062,1673,Flamboyants,,14.616833,-61.098384,0,10039,0
21392,2648,Flamboyants,,14.616312,-61.099304,0,10039,0
10055,MADIAN,MADIANA,,14.613536,-61.096393,1,,0
20087,1-A-50,MADIANA,,14.612495,-61.096260,0,10055,0
10022,ANGOUR,Anse Gouraud,,14.609356,-61.096702,1,,0
20034,1-A-51,Anse Gouraud,,14.609257,-61.096699,0,10022,0
10030,CASINO,Casino,,14.607778,-61.094098,1,,0
20046,1-A-52,Casino,,14.607703,-61.094147,0,10030,0
10064,PTDEJAH,VERRIER,,14.605749,-61.091102,1,,0
20101,1-A-53,VERRIER,,14.605614,-61.090917,0,10064,0
10051,LEBRISA,LUMINA SOPHIE,,14.605336,-61.090023,1,,0
20080,1-A-54,LUMINA SOPHIE,,14.605336,-61.090023,0,10051,0
10038,ECHCAMP,PANORAMA,,14.604961,-61.087183,1,,0
20060,1-A-55,PANORAMA,,14.604876,-61.087165,0,10038,0
10062,PRBELV,CENTRE COMMERCIAL BELLEVUE,,14.604756,-61.084029,1,,0
20098,1-A-57,CENTRE COMMERCIAL BELLEVUE,,14.604652,-61.083890,0,10062,0
10048,MARNE,La Marne,,14.604005,-61.079906,1,,0
20074,2121,La Marne,,14.604362,-61.080408,0,10048,0
10054,LYSCHOE,Lycee Schoelcher,,14.603022,-61.076378,1,,0
20085,1-A-59,Lycee Schoelcher,,14.602619,-61.077351,0,10054,0
10014,SIMON,POINTE SIMON,,14.603172,-61.071349,1,,0
20066,2590,POINTE SIMON,,14.602954,-61.072163,0,10014,0
20067,1485,POINTE SIMON,,14.603417,-61.071586,0,10014,0
20086,1-R-99,Lycee Schoelcher,,14.603425,-61.075405,0,10054,0
20075,1-R-98,La Marne,,14.603649,-61.079405,0,10048,0
20099,1-R-97,CENTRE COMMERCIAL BELLEVUE,,14.604860,-61.084167,0,10062,0
10061,PANORA,Panorama,,14.604919,-61.085201,1,,0
20097,1664,Panorama,,14.604919,-61.085201,0,10061,0
20651,1-R-95,PANORAMA,,14.605046,-61.087202,0,10038,0
20102,1-R-94,VERRIER,,14.605883,-61.091288,0,10064,0
20047,1-R-93,Casino,,14.607853,-61.094049,0,10030,0
20035,1-R-92,Anse Gouraud,,14.609455,-61.096705,0,10022,0
20088,1668,MADIANA,,14.614578,-61.096526,0,10055,0
20052,1674,College Vincent Placoly,,14.616460,-61.099927,0,10033,0
20112,1675,Victor Schoelcher,,14.616368,-61.101010,0,10070,0
10023,ANMADA,Anse Madame,,14.618087,-61.101798,1,,0
20036,1676,Anse Madame,,14.618087,-61.101798,0,10023,0
20677,1-R-90,Anse Collat,,14.619681,-61.104877,0,10594,0
20678,1-R-89,CLAPLAOUS,,14.623026,-61.107023,0,10595,0
20679,1-R-88,Fond Collat,,14.624095,-61.109643,0,10596,0
10597,LAGROSI,LA GROSILLIERE,,14.627518,-61.110131,1,,0
20680,1-R-87,LA GROSILLIERE,,14.627518,-61.110131,0,10597,0
20681,1-R-86,FOND LAHAYE,,14.628043,-61.110995,0,10598,0
20690,1690,Estrade,,14.628109,-61.113970,0,10607,0
20691,1691,Beaunel,,14.630470,-61.113554,0,10608,0
20692,1692,Les Manguiers,,14.637753,-61.112669,0,10609,0
20693,1693,Les Cocotiers,,14.638772,-61.113382,0,10610,0
20694,1694,Les Anglais,,14.639817,-61.112710,0,10611,0
20695,1695,Clauzel,,14.641378,-61.113498,0,10612,0
